threshold,total_samples,accepted_samples,manual_review_samples,coverage,manual_review_rate,accepted_accuracy,incorrect_accepted,defect_samples,good_weld_samples,defect_recall_all,good_weld_recall_all,defect_accuracy_when_accepted,good_weld_accuracy_when_accepted,dangerous_false_good,false_defect
0.1,89,88,1,0.9887640449438202,0.011235955056179775,0.8522727272727273,13,68,21,0.9705882352941176,0.42857142857142855,0.9850746268656716,0.42857142857142855,1,12
0.25,89,78,11,0.8764044943820225,0.12359550561797752,0.9358974358974359,5,68,21,0.8676470588235294,0.6666666666666666,0.9833333333333333,0.7777777777777778,1,4
0.5,89,55,34,0.6179775280898876,0.38202247191011235,0.9454545454545454,3,68,21,0.6617647058823529,0.3333333333333333,1.0,0.7,0,3
0.7,89,30,59,0.33707865168539325,0.6629213483146067,0.9666666666666667,1,68,21,0.38235294117647056,0.14285714285714285,1.0,0.75,0,1
0.8,89,17,72,0.19101123595505617,0.8089887640449438,1.0,0,68,21,0.25,0.0,1.0,0.0,0,0
0.9,89,3,86,0.033707865168539325,0.9662921348314607,1.0,0,68,21,0.04411764705882353,0.0,1.0,0.0,0,0
